Entity,average_probability
One in three Palestinians,2730
the character designs,1790000
attack,1410000000
the appointment of a bipartisan committee,3
additional funds,7290000
Today,7300000000
His large scale sculpture,2810
Wikipedia's Hajime Katoki article,0
Tea,850000000
joint events,373000
the attack,130000000
Angola,364000000
the Consortium,12600000
the small town of Vinci,2140
Individualism,23200000
opinion,1840000000
the next two days,7900000
political rights,8220000
The government,1020000000
systems,3910000000
Occupied Flanders,456
fire on a passing vehicle,5070
the south,778000000
the likes of Peres,571
history,8170000000
effect,2660000000
German reparations,57800
An AT & T representative,3
the opening film,165000
"The Associated Press and U.S. News & amp; World Report, among others, for excellence in instruction and research",0
domestic and overseas investors' attention,0
Barrow,46400000
The other musicals opening directly on Broadway,1
the approval of the China Insurance Regulatory Commission,5320
Novak Djokovic,24200000
"wolves, lynxes and eagle owls",6
the cup,45700000
Ivory Coast coach Eriksson,1
the gymnasium in Gotha,575
thirty one years,621000
"Dover AFB, Delaware",16700
North Korea's political climate,929
MMRDA,865000
many of the township's roads,687
Fairfax Public Access (FPA),141
his responsibilities,5910000
the puter,56400
recent days,10800000
Edward Cullen in the movie,22400
a titanic struggle,55200
The board,557000000
Chaucer College,4380
"last weekend's noisy procession, which saw a convoy of peaceful protesters in cars, trucks and motorbikes snake through the capital's teeming streets",0
Anne-Marie Mediwake,12900
its head coach,315000
The purpose of the conference,14600000
a new large-scale fertilizer factory in Chongqing,0
a bit of a question on how the series would fare this season,0
volume at the exchange,166000
Patrick O'Sullivan,320000
a chance,657000000
a six-member Presidency,4
the tropical cyclone belt,1680
a powerful staff,12700
hyperactive prosecutors,0
Ahmose-Henuttamehu's mummy,3
The bloc's decision,3200
#NAME?,0
the fall,417000000
an activist known most notably as the founder of a number of international campaign groups,0
Alan Cohn and Bobcat Goldthwait (the latter previously worked with Brown in Medusa: Dare to Be Truthful and Shakes the Clown),0
the actual bands and the fact,0
shows like The View and The Tonight Show with Jay Leno,4
Coogee,4250000
"the death, abduction and displacement of thousands of civilians",2
CFB Trenton,89900
four years of little success,5
Wang Baoshan,8680
the scene,321000000
"construction of a ""Chinese economic grouping ""which would raise the decision-making status of the two sides in international economic affairs",0
"the city, Giovanni Domenico Ferretti",5
a peace treaty,2270000
the amount it spends buying technology elsewhere,0
the western Javanese port of,0
Alex Webster,87500
fossils of Mesozoic mammals and their immediate ancestors,96
shopping,2350000000
NHL history,1050000
connections to the Bee-Line System in White Plains and Port Chester,0
a news conference on Saturday,288000
EEC/EC interior and justice ministers,1
various collections of humorous short stories recited by Cal Stewart,0
the MCC name,458
a small island,12600000
anyone in cyberville,0
Joseph Cook,512000
Tuscany,37700000
permission,1400000000
Clifton Williams,67900
Muslims,117000000
All of their friends,22800000
the team,1130000000
the suicide attack,139000
U.S. support,72800000
a young bloke,365000
Janie's performance,224
Hanoi,43900000
all kinds of junk,308000
French riders,25300
The guide,150000000
a soft drink that caters to gays,3
The solution,418000000
the church,208000000
Additional Resources The wikipedia,1
a treaty,10900000
rheumatoid arthritis,114000000
Investors,1240000000
academia,462000000
a series of concrete measures and key points of policy,0
"Promus Hotel Corporation, a hotel management and franchise company",0
Los Angeles,1330000000
communal forces,175000
The battalion,4030000
substantial hurdles,46200
No one,1020000000
Wieck,833000
Italy,1870000000
he,6050000000
The Bhoys,165000
DreamWorks Animation,12100000
the great majority of cases,721000
The Mali football federation,733
Our secret weapon,410000
Aerosmith,12900000
Democrats,137000000
the mother,259000000
Surveyors since the time of William Penn and George Washington,0
Many soy products,4660
The Clippers,3870000
valuable signings,1260
Adkins,19800000
California,2810000000
a city,292000000
"the advocacy of owning the system or means of production, rather than being an employee of someone else",0
the birth of the twins,428000
Republic chief executive Bryan Bedford,8
both Germany defender Philipp Lahm and Luca Toni,0
one of the primary school songs,2
the help of a girlfriend,504000
regional leaders,2150000
Paul Gauguin's Vase de Fleurs (also known as Lilas),2
A year,1350000000
most people,526000000
my words,45800000
the remains of the original tower,5690
their offensive plans,2430
a group of Tibetans,33800
The level of disorder,585000
Maj. Joseph Hooker,1
the right decisions,9140000
not life,5890000
his country,35500000
The journalistic consensus,161
the Republican political leader Grand Pensionary Johan de Witt,4
The Elihu Benjamin Washburne House,31
these outrageous acts,3870
the Opole Voivodship in Silesia,2
United States Senator Chuck Grassley of Iowa,295
"Creswell, Munsell, Fultz & Zirbel",28
"the University of Tasmania, Australia",137000
scholars,765000000
all the water,373000000
its announcement,1060000
Las Vegas on the way,478000
economic reforms,6060000
ties,540000000
the legislature,46400000
remote provinces,45800
rats and mice of the genera,4
the idea of checks and balances,185000
"the sound of ""I Can See Clearly Now",82000000
new office space,3780000
privatdozent in philosophy,1670
a boy,188000000
Rafael Palmeiro of the Baltimore Orioles,341
the Italian region of Lombardy,25400
El fogon de los gauchos,42
the audience's heart,29900
April,3640000000
"Potatoes, tomatoes, rice tobacco, lettuce, safflowers, and other plants",4
one day,642000000
the finals,26100000
the United States,2640000000
December of the same year,854000
his retirement,28400000
the line,604000000
"The chairman and a director of one of the Republic of Singapore's leading property companies, City Development Ltd., or CDL",0
whale anatomy,30900
three games,19300000
Canberra and Melbourne,86400
American Wrestling Association,46700
the end of this weekend,20400000
"The endowment model, pioneered by Yale's investment chief, David Swensen",0
a princess of Brunswick-Wolfenbuttel,3
forty girls in full kabuki theater makeup and outfits that were a riot of colorblock knits and printed silk culled from every conceivable ethnicity--fabrics taken from the label's four-decade-long archive,0
orchestral accompanying to the three singers,1
"Mohammed M. Hossain and Yassin M. Aref, leaders of the Masjid as-Salam mosque in Albany, New York",2
North Africa,133000000
a top regulator,6010
the end of next month,1530000
her record deal,37800
"two former Guantanamo detainees, Ravil Gumarov and Timur Ishmuratov",0
Jay,679000000
the sight of God,7130000
companies that caused the economic meltdown,1
"a railway station located on the Norway-Sweden border at Riksgransen, one kilometer into Sweden",0
its effects,109000000
she,5290000000
The HAVING clause,54700
Ilkley passing nearby,7
Oxford,866000000
Cyrenaica,300000
none other than the mortal enemy of the US,0
Romanelli,1810000
the Afghan people,711000
coverage of Sunday's services,0
custom medical devices,45000
an anti-terrorist officer,159
"the Merthyr, Tredegar and Abergavenny Railway",322
the Contras,171000
legal opposition parties,6070
his answers,2770000
Proton,145000000
an oily endosperm and usually with a black or brown phytomelanous testa,0
the USA and mainland China,19200
Ayub,13900000
Final assembly production,17000
the transitional government side,4
further economic development,262000
Lampoldshausen,21000
The tragedy,50300000
Sandra Stevens (later of Brotherhood of Man) and then Lyn Paul (her future colleague in The New Seekers),4
ambiguities,20300000
Swidwin County,216
police,1430000000
piles of ashes and bones,3570
Lebanon's Gen. Aoun,0
"East of the Mississippi, the genre",1
inspection,562000000
"Julie Chen, Sharon Osbourne, Holly Robinson Peete, and Leah Remini",4
the y_str Polydor and Spectrum,0
"Ben ""Davies",29300000
his ship mates,12100
"Khwaja Qamar ulDin Sialvi, Qazi Zafar Hussain, and Qazi Mazhar Qayyum",0
Tuesday,1040000000
the Pearl Harbor attack,184000
Voice of America broadcast over Hungarian airwaves,0
The Jazz,18200000
Australian dollar,58300000
broad improvement,14600
hands,2460000000
Ethel,25500000
the lobby,46800000
a Jew,12100000
"Vietnam, a country with which it has tense relations and no official diplomatic ties",0
forces,1320000000
"philosophy, English literature and Arabic",778
its fairly clear scale advantage,0
reporters on Thursday,732000
full understanding of the necessity for a harsh but just vengeance,4
first slip,243000
a roadside bomb,314000
Sunday,1440000000
Our network of moving companies,35700
incidental items only,1940
more sense,45900000
London (UK),151000000
We,16730000000
Fossils,53900000
composers of the Ars subtilior,1130
these things,193000000
Deutsch,3950000000
Ricky's help,995
any constitutional restrictions,5800
"the result of his close friendship and working relationship with another aggressive officer, Roger Keyes, whom he had first met in China fifteen years before",0
Derek St. Holmes,31600
that person,152000000
mountainous areas,5780000
the era in which we are seeing military coups as a means of political transition rather than democratic elections,18
pickups Sunday,1880
Quirino's party,20
the old hotel zone,9
the weak dollar,47300
a date for it,2940000
Babylon,41800000
The cities of Alma and St. Louis,9
Students Association,8920000
the universe,275000000
a minority share,85100
Kenyan laws,27900
the Decorated Period,6000
Man Mountain Dean,4750
a disaster of a film,21100
the pace of massive layoffs,0
consumers,788000000
Buddha,119000000
My family and I,69800000
Monday,1530000000
the species,163000000
the Doha negotiations,26800
"the percentage of Americans who do ""real exercise to build the heart """,47900
the other area jurisdictions,1
The islands,53900000
February,3080000000
Taiwan scholars,7170
Isle of Man,217000000
their lives,427000000
an opportunity for business,7830000
a hilly plateau between the Tonle San and Tonle Srepok rivers,29
a bold and controversial move,2620
"a guitar player and singer in Peoria, Illinois",1
multiple cultures,591000
New Orleans before it was relocated to Six Flags Fiesta Texas,2
the protests,12500000
Brennan,102000000
the Democratic convention,1240000
The Society of Olive Oil Producers of Baetica,10
"Today Gao, who now lives in France",0
a club,74700000
Farro salad,199000
his lieutenant governor,30500
Cerros de Quiman,0
Ireland and Northern Ireland,3250000
Epiphanius,200000
"movies like Johnny Guitar, Vera Cruz and Bad Day at Black Rock",5
the Erics Crossing between the Gaza Strip and Israel,0
a foundation,127000000
Mellon Fellow in the Humanities,14300
raw uranium,11900
Iraqi museum workers,71
a stop in downtown Calgary,1440
the morning,613000000
Sennacherib,337000
Reporters,164000000
the second round of the season-opening SBS Championship on Friday,0
Seljuk power,1580
"Mihail Sadoveanu, Stefan Voitec, Gheorghe Stere, and Ion Niculi",0
the collapse of the Soviet Union and Yugoslavia,42500
HTC,32200000
torrential rains and severe flooding,7860
those products,22800000
a day,1510000000
A perfectionism,20500
United Arab Emirates,602000000
its political ties,49800
heavy blows,268000
the degree of doctor of medicine,282000
A Russian diver,3620
first-day motions,42300
Pope Pius XI,259000
personal friends,1180000
the censorship of cyberspace,8
The United States,2640000000
hours,4610000000
an invitation to visit Cairo from Egyptian President Hosni Mubarak,0
any cuts,679000
CBS,293000000
Chekhov,4590000
the remaining place to be decided in Moscow,0
date,6510000000
The story of the Samuni family,0
the London and South Western Railway,48400
boycott one company,1370
ARM architecture and List of ARM microprocessor cores,2
The debt,54200000
The Church of Ireland parish church at the lower end,5
these rates,15600000
the agency,209000000
the package ONCE and the booklet,0
"chronic progressive lymphedema, a disease with clinical signs that include progressive swelling, hyperkeratosis and fibrosis of distal limbs that is similar to chronic lymphedema in humans",5
An Itinerary,5900000
Ecuador's government,19200
the poll,17900000
Aquino,30000000
every citizen who had not fled,5
The battle,289000000
the note,43500000
King Crimson,4380000
the reign of Diocletian,67600
Al Gore,4650000
Empress,50100000
the loss of only three games,22200
Gros and Delaroche,127
earlier this week,62200000
December,3180000000
Two early organizations that any student of queer history should know,0
battle,1230000000
Glenraphael Drive marvelling in the views to Lake Burragorang,0
each image pixel,171000
The unmanned aircraft,191000
His subsequent works of the period,2
dive,821000000
A faction from within the disbanded NLD,0
England,1580000000
a shot,151000000
the lyrics of the title track,96300
the debate on energy and climate change,4
Her position of influence,124000
"the first quarter, Saskatchewan's quarterback",2
short track,3670000
Tanganyika (now Tanzania),14000
the Carpenter government,1520
the outside,335000000
companies,3410000000
Small car makers,35300
Belgaum district,302000
Winston Churchill,20300000
Williams and the baby,528000
"Aleksandr M. Prokhorov Shared the Nobel Prize in Physics in 1964 for, respectively, semiconductor lasers and",0
Stewart,422000000
q,2000000000
the company,1210000000
the economy,358000000
Iraq,505000000
"sparkling wine, such as Spanish cava",28
ELO Part II,8390
as many as one hundred stores,1
development in Asia,17300000
a discipline,17300000
"the building, a violation of the Clean Air Act",0
a daily earthquake response,4
nearly half of all civilian deaths,8
"St Mary Hall, Oxford",7770
New Mexico,310000000
the shadowy insurgents,7
Most car spoilers,2970
Holmger Knutsson,91
The distinctive carriages,8
an assessor,930000
a good social image,13500
a road,143000000
Big Show,12000000
a sketchy education,121
three men,30800000
"the ""one country two systems ""formula",132000000
a similar restructuring plan,588
The Awis,11200
the complaints,20400000
leaves,1320000000
Australia's Asian policy structure,0
the elbow with a pocket knife,4
the temperature,307000000
"The University of Karachi, simply referred as KU",1
the course outside the Aota Main Stadium,1
the world,5310000000
representatives of the Portuguese community,6200
clusters of ovaries,4
Shockacon,887
an opportunity for investors,1520000
England and Germany,2970000
similar performance,10400000
you,23420000000
"the cause of the seizure episodes, along with other organic causes of non-epileptic seizures, such as syncope, migraine, vertigo, and stroke, for example",0
Lee Teng-hui,66900
the latest version of the bill,222000
the match,103000000
the BP-leased Deepwater Horizon rig,653
a plan,359000000
some responsibility,2390000
stuff Janet,2750
it,20990000000
Kulmbach,544000
Garden planters,2610000
this memory,7720000
a vice chairman of the parent company and the unit,0
government official Lee Ming-hsing,0
"Lilan Zhu, vice-chairman of National Science and Technology Committee",0
both sides,392000000
seeds,545000000
the years,810000000
life in prison,31200000
United States Coast Guard,3190000
the island,265000000
the entire country,18500000
the story-based on his own love-life-in installments,0
extraordinarily high rates of a type of nose-and-throat cancer,0
The Crucible,11300000
the use of ultrasonography or auscultation of the heart sounds,7
scythes,1530000
"A spokesman for Gulf Canada, which is controlled by Toronto's Reichmann family",0
Ahmadinejad,1080000
a government,209000000
home,17400000000
a cross,355000000
"the English Foreign Minister, Mr. Balfour",0
Union,1820000000
a scientist,38500000
the disclosures,5450000
Norfolk,291000000
the first federal agencies,67600
the O.J . Simpson trial,142000
The DMC,1110000
"the unit, along with its commander",2
Many enterprises,899000
"the Lengyel horizon to the south, and the Rossen culture to the west",0
"a houseplant given sufficient temperature, soil moisture and humidity",7
Capri,68400000
oil that's dispersed through wind and wave,0
the Rocky Mountains,11000000
her first episode,2030000
the Streets,304000000
his long career,2040000
The Excession of the title,110
the time,3500000000
plenty of references,791000
classics,429000000
the United States Senate,3170000
Truk,5720000
the planned protest route,305
"his replacement as chief coiner, Franklin Peale",1
Taiwan's big enterprises and consortia,0
"some unstable, or radioactive, isotopes",8
September,4680000000
the ensemble cast,495000
Tanzim,847000
part,9010000000
"the European Quarter of Strasbourg, France",10
a unique approach,17800000
the Irish government,1810000
Sarah Michelle Gellar,11800000
Toulouse FC,3970000
the House of Lords,7200000
the strength of the Metropolitan Police,57400
the New York Central,862000
the Port of Olympia region,0
the opening Australian round of the World Rally Championship on Thursday,0
no designation from the IATA,915
the performances,35200000
A group of Coptic youth,4
One person besides Stack,1
a one-year exclusivity deal,221
difficult choices,2010000
the proposal,102000000
a support party,6340
Parks,722000000
a special deal protecting his state against the costs of expanding Medicaid under one of the major health care bills moving through Congress,1
financially weaker countries,325
the Peruvian effort,127
Palin's office,614
"some blocks in the secondary-LCB-market-RCB -, which we haven't seen for a while",0
"the operations in Mingora, the biggest city of Swat",0
Mac Raghnuill (Donald),4
the programme,142000000
the farmers of Linpien,1
no real bearing on the real world,2720
ships,397000000
stage,2150000000
Pitt,104000000
USA Stan Smith,282
the Senate on Friday,232000
Latvia,482000000
occupational duties,43500
western Europe,70700000
his bags,1170000
a blanket,49700000
The culture,311000000
"a vaudeville turn in the strip-tease number ""Bathing Beauty",0
a typical example,10800000
Southbank and Elsternwick,2
an inducement,1220000
a grueling march across the Mojave and Sonoran Deserts,1
maritime officials,16500
officials,807000000
a hype man in live concerts,3
the brain,485000000
His parents,114000000
new emissions goals,2750
Whorenahan,0
his bank,5500000
the dissolution of the Soviet Union,624000
"Rypin County, Kuyavian-Pomeranian Voivodeship, in north-central Poland",118
a popular hit,66600
new jobs,38500000
leveraged technology that enables their staff members to stay in touch as effectively,0
law enforcement authorities,5910000
blood volume,11400000
"Cleethorpes, North East Lincolnshire, England",4660
"his marriage during a joint television interview with his wife, Hillary",0
the effect of this change on inflation and on the extent the minimum level of basic needs would be provided for the poor sectors,0
the western hemisphere's second enormous earthquake,0
seven scoreless innings,115000
officer Matthew Schofield,43
his first of three books,124000
The Energy Blue skin The Energy Blue skin,1
gentle tape-looped guitar textures,0
the Leinster winners,647
"an ""abuse of protectionism",572000
a club playing in the Fourth National division,0
Cosworth,6450000
NASA,396000000
such authorities,296000
Barry Mann,183000
Left fielder Carl Crawford,3230
those details when we have them,2290
completion of the program,61300000
a surf-ski,15800
Smith,1620000000
"a series of measures recently to combat the flu, including screening suspect passengers",0
a contract,166000000
the board,557000000
My players,10400000
volunteer,1110000000
revised data,289000
Newsround,683000
favourites,340000000
Barney,44200000
queen bees,803000
the White house and the Nixon campaign,2
Inside Politics,884000
The cause of the collapse,2810000
ABC Family,1220000
South Korea,543000000
her Section,289000
Kevin Donovan,103000
Serbian label City Records and HAYAT Records,2
women,5430000000
the desert winter,18300
the family Limapontiidae,297
the rise of Earth-friendly vehicles,0
new areas,22000000
"Western Pueblo, Native American cultures which are located in the southwestern region of the United States",3
Russia's irrational harshness,0
three west Hungarian villages,2
Col de la Madonne transmitter is a very large broadcasting centre,0
that epoch,196000
our national security,3420000
Dublin,285000000
The Drozd system,130
"bhakti yoga, and hatha yoga",6660
two men,116000000
the cleanup effort,89400
the non-State-owned economic sectors,2
the phone lines,2250000
The emperor Alexander,77900
the two places' advantages,1
River Krishna,126000
the right spot,71900000
the building,459000000
his spy chief,6580
The heat treatment process for most steels,5
this incident,30100000
Ali Hewson,37800
The conflict in Kosovo,152000
a similar call,130000
this method,446000000
The convention,70900000
The Bishopric of Trent,18000
the balance of interests,1610000
Russian Krasnoyarsk city,2
the larger states,77900
your expenses,14100000
a tourism economy,78400
Southport,24300000
family entertainment,9790000
establishment,570000000
the Philippines,214000000
The reactor building containment dome,1
the latest setbacks,4700
the asteroid,6400000
the Prime Minister,63800000
the project,762000000
CBN,29300000
Lisbon,116000000
the Ma administration's China policy,1
her,6900000000
every one of these companies,10800000
A department spokesman,87300
"Anchorage, Alaska",5370000
The parliamentary leader,55900
eastern Afghanistan,435000
A couple months,25100000
his son Ranald,620
voters,262000000
"Thaddeus Stevens, a virulent abolitionist",0
Essen,79500000
Mrs. Bush,149000
General William McEntyre Dye and two other military instructors,8
Millwall's Andy Massey on loan,0
international debate and action,14400
Bearings taken by Pan American Airways stations,9
The committee,196000000
the task,341000000
detention,111000000
the house to the plant,8
Rival parties' House campaign operations,0
Kohler Co.,871000
an angel of the presence,401000
quite some time,36800000
a holiday retreat,127000
a place,742000000
religions,134000000
the sales,125000000
Japanese media,1520000
a youth camp in Little Rock,320
some witnesses,373000
the Polish peasant,44000
A fifth strikeout,612
European Central Bank chief Jean-Claude Trichet,934
Saturday night,164000000
the southernmost atoll,44300
the industry,678000000
Renault-Nissan diesel and petrol engines,0
Ferrari,184000000
the edge,388000000
bad outcomes,540000
November,3300000000
One subspecies of Tiliqua scincoides,9
"the death of her husband, Martin",11900
ACT headquarters,3200
Angelica Balabanov,62
"The UN's human rights chief, Navi Pillay",171
more people,268000000
Share prices,6320000
further control,1110000
his release,14900000
the shmoo's comic book adventures,19
an aide to Egyptian President Mubarak,0
a Gem Faire event,0
the case,1670000000
"Its cathedral, Christ Church Cathedral",2
Net loss for the three months to June,9
"K mart Corp., Troy, Mich.",0
childhood friends,16400000
today's,1800000000
the rainy season,21800000
the concepts of a pseudometric space or a dislocated metric space,0
Samachar Darpan Samachar Darpan,9
Bloordale Village,20600
THE ROCK AND ROLL HALL OF FAME,3350000
bad weather,32200000
the side,691000000
Frank Francisco,28900
the strongest possible terms,318000
pensions and expenses,366000
Thursday,965000000
Types of bipedal movement,1370
the Jain scholar Shrimad Rajchandra,6
ceramics,164000000
patience,351000000
Great Britain and France,1510000
Beckie,4290000
part of our nation,19900000
his music career,3210000
a number of reservations,201000
court on Tuesday,5900000
Russian influence and trade,6
its deepest political crisis,709
the presence of the company in the automobile market,0
Estadio Jose Duarte de Paiva,6
Popescu,10500000
"an Italian actor of the cinema, theatre and television",4
Rodney Hide,26700
paranoia,31800000
manager Charlie Manuel,24100
Friesian imported from Germany and Holland,4
Assistant Secretary David Mullins,1
borough president,1020000
North America,880000000
fools,61200000
results,6470000000
these quite intense periods,1
chef de mission Craig Hunter,238
the money,430000000
the top ten positions,44100
this one having a peaceful ending,0
the alleged racial inequality of death sentencing,1
the hot weather,6280000
defoliants,111000
drivers,746000000
snow,758000000
Friday prayers,2110000
bishop of the Pergamon,2
his testimony,6870000
the largest professional wrestling promotion in the world,1030
swimming,635000000
Ireland,1690000000
Ivan Lendl,375000
New Jersey,627000000
the very near future,4370000
The spacecraft,13000000
the official,1280000000
A court in Morocco on Monday,1
basic life processes,32900
clear and regular signs of hiring,0
development and peace,10500000
neither man,635000
All the players,46900000
the report,508000000
Johannesburg,89100000
the Gulf waters,206000
the threat of SARS,129000
slower but steady economic development,2
a menu that can be navigated using an Xbox joypad or DVD remote,0
The following December,141000
"every single person, parlement and military, everyone",1
Scotch Whisky,13900000
data and cost estimates,1010000
goods,1130000000
folks,304000000
rap fans in the Senegalese capital,0
Alan Bean,187000
Bae Yong Joon's KeyEast Entertainment company,7
funding,1830000000
the liver,160000000
rice,808000000
Richard Nixon,9440000
Aetna,40200000
His teammate,4950000
its headquarters,13800000
Sen. Mitchell,10000
